label,replace by
reacjs,reactjs
machinelearning,machine-learning
anroid,android
deeplearning,deep-learning
covid19-virus,covid-virus
covidvirus,covid-virus
pandemie,pandemic
dashboards,dashboard
computervision,computer-vision
epedemiology,epidemiology
datascience,data-science
opensource,open-source
data-analytics,data-analysis
dataanalysis,data-analysis
timeseries,time-series
tensorflow2,tensorflow
restapi,rest-api
kolin,kotlin
flutter-app,flutter-apps
reactnative,react-native
express-js,expressjs
react-hook,react-hooks
reacthooks,react-hooks
hackathons,hackathon
hackaton,hackathon
heathcare,healthcare
healtcare,healthcare
socialdistancing,social-distancing
social-distance,social-distancing
retrofit,retrofit2
retrofit-2,retrofit2
covid19-us,covid-19-us
brasil,brazil
epedemic,epidemic
epidemics,epidemic
epidemc,epidemic
crawlers,crawler
opendata,open-data
data-viz,dataviz
awesome-lists,awesome-list
c-sharp,csharp
ventilators,ventilator
ventilador,ventilator
jsonapi,json-api
indonesian,indonesia
bootstrap-4,bootstrap
bootstrap4,bootstrap
bootstrap3,bootstrap
bootsrap4,bootstrap
postegresql,postgresql
quarantined,quarantine
folding-at-home,foldingathome
discordbot,discord-bot
civictech,civic-tech
pnemonia,pneumonia
publichealth,public-health
real-time,realtime
scrapper,scraper
hospitals,hospital
covidtracking,covid-tracking
react-component,react-components
diseases,disease
data-visualisation,data-visualization
datavisualization,data-visualization
flutterui,flutter-ui
tailwind-css,tailwindcss
newzealand,new-zealand
live-data,livedata
wholefoods,whole-foods
wholesfood,whole-foods
angular9,angular
angular8,angular
image,images
sqlite3,sqlite
api-services,api-service
projects,project
animations,animation
elastic-search,elasticsearch
delivery-slot,delivery-slots
covid19-mexico,covid-19-mexico
mogoose,mongoose
coronasdk,corona-sdk
infomation,information
scraping,scrapping
agent-based-model,agent-based-modeling
r-package,rpackage
googlecolab,google-colab
java8,java-8
patients,patient
scrape,scrapy
italian,italia
nodesjs,nodejs
node-js,nodejs
volunteer,volunteers
djangorestframework,django-rest-framework
codeforamerica,code-for-america
chest-x-ray,chest-xray
chest-xrays,chest-xray
sticker,stickers
covid-19-france,covid19-france
covid-19-dataset,covid19-dataset
covid-dataset,covid19-dataset
cord-19-dataset,covid19-dataset
covidx-dataset,covid19-dataset
wiki-data,wikidata
prediction-models,prediction-model
stayhome,stay-home
dockerfiles,dockerfile
switerland,switzerland
twitterbot,twitter-bot
prisma2,prisma
time-series-forecasting,timeseries-forecasting
time-series-forecast,timeseries-forecasting
graph,graphs
covid19-nepal,covid-19-nepal
shinyapps,shiny-apps
respiratory,respirator
openscience,open-science
coronaindia,corona-india
fastai,fastapi
fastai2,fastapi
food-delivery,foods-delivery
covid-19-philippines,covid19-philippines
alarm-manager,alarmmanager
decentralised,decentralized
rapidapi,rapid-api
remotework,remote-work
echarts4,echarts
visualiser,visualizer
linebot,line-bot
latin-america,latinoamerica
googlemaps,google-maps
mapbox-gl,mapboxgl
visualizations,visualization
visulization,visualization
visualisation,visualization
southafrica,south-africa
covid-19-austria,covid-19-australia
srilanka,sri-lanka
flutterweb,flutter-web
androidarchitecturecomponets,android-architecture-components
doctors,doctor
covid-spain,covid-19-spain
covid19-spain,covid-19-spain
codeigniter3,codeigniter
covid19-app,covid-19-app
covid-19app,covid-19-app
covid-19-italia,covid-19-italy
covid-italy,covid-19-italy
covid19-italy,covid-19-italy
neural-networks,neural-network
neutralnetworks,neural-network
covid-19-czech,covid-19-czechia
github-action,github-actions
githubactions,github-actions
datacleaning,data-cleaning
coronainfo,corona-info
sckiit-learn,scikit-learn
swift-5,swift5
local-business,localbusiness
covid19-canada,covid-19-canada
wirvsvirushackathon,wirvsvirus-hackathon
3d-printing,3dprinting
novelcovid,novalcovid
vader-sentiment-analysis,vader-sentiment-analyzer
transformer,transformers
yolov5,yolov3
yolov4,yolov3
yolov2,yolov3
opencv2,opencv
opencv4,opencv
hong-kong,hongkong
githubpages,github-pages
github-page,github-pages
covid19-japan,covid-19-japan
heroku-app,herokuapp
face-mask-detector,face-mask-detection
facemask-detection,face-mask-detection
forecasting-models,forecasting-model
openlayers,openlayers6
covid-19-uk,covid19-uk
omega-onion,omega-onion2
coronavirusprediction,coronavirus-prediction
restaurant,restaurants
maubot,manubot
pwa-apps,pwa-app
student,students
deck-gl,deckgl
reactapp,react-app
seird-model,seir-model
screenshots,screenshot
contributions,contribution
springboot2,spring-boot
springboot,spring-boot
rxjava,rxjava2
open-hardware,openhardware
developers,developer
ionic3,ionic5
react-countup,react-router
react-counter,react-router
commandline-interface,command-line-interface
compartmental-models,compartment-models
organizations,organization
news-feed,newsfeed
googlemaps-api,google-maps-api
telegram-bots,telegram-bot
telegrambot,telegram-bot
beautifulsoup,beautifulsoup4
beautiful-soup,beautifulsoup4
