左侧,右侧,关联规则,支持度,置信度,提升度
nlp,python,nlp => python,0.0025048705816866127,0.2727272727272727,1.6552518427518426
coronavirus tracking,coronavirus real time,coronavirus tracking => coronavirus real time,0.05733370442527136,0.24037339556592766,3.5541630052196624
open data,covid19 data,open data => covid19 data,0.003896465349290287,0.45161290322580644,2.6557203949105115
epidemic,epidemiology,epidemic => epidemiology,0.002226551628165878,0.26666666666666666,19.162666666666667
epidemiology,covid19 data,epidemiology => covid19 data,0.003339827442248817,0.24,1.4113256955810147
pandemic,epidemic,pandemic => epidemic,0.004174784302811021,0.2112676056338028,25.302816901408452
visualization,python,visualization => python,0.009741163373225717,0.35,2.124239864864865
coronavirus info,coronavirus tracking,coronavirus info => coronavirus tracking,0.03645978291121625,0.7359550561797752,3.0855151888610646
coronavirus globaloutbreak,coronavirus tracking,coronavirus globaloutbreak => coronavirus tracking,0.010297801280267187,0.880952380952381,3.6934211257431797
coronavirus info,coronavirus real time,coronavirus info => coronavirus real time,0.025883662677428334,0.5224719101123596,7.725273963101679
coronavirus globaloutbreak,coronavirus info,coronavirus globaloutbreak => coronavirus info,0.007236292791539103,0.6190476190476191,12.495719636169074
coronavirus globaloutbreak,coronavirus real time,coronavirus globaloutbreak => coronavirus real time,0.006957973838018369,0.5952380952380952,8.80119537526945
data visualization,python,data visualization => python,0.009741163373225717,0.29411764705882354,1.7850755166931638
virus,pandemic,virus => pandemic,0.002226551628165878,0.26666666666666666,13.494835680751175
coronavirus analysis,coronavirus real time,coronavirus analysis => coronavirus real time,0.015029223490119677,0.4090909090909091,6.048821548821548
artificial intelligence,deep learning,artificial intelligence => deep learning,0.006957973838018369,0.5555555555555556,12.475694444444445
coronavirus analysis,coronavirus tracking,coronavirus analysis => coronavirus tracking,0.024770386863345394,0.6742424242424243,2.8267829991867335
deep learning,computer vision,deep learning => computer vision,0.009741163373225717,0.21874999999999997,17.46597222222222
deep learning,machine learning,deep learning => machine learning,0.01697745616476482,0.38125000000000003,8.895008116883117
computer vision,machine learning,computer vision => machine learning,0.0030615084887280824,0.24444444444444446,5.703174603174604
nlp,machine learning,nlp => machine learning,0.003339827442248817,0.36363636363636365,8.484061393152302
telegram bot,coronavirus tracking,telegram bot => coronavirus tracking,0.003339827442248817,0.2608695652173913,1.0937040231342905
dataset,covid19 data,dataset => covid19 data,0.01224603395491233,0.46808510638297873,2.7525855764877947
r,covid19 data,r => covid19 data,0.00584469802393543,0.42,2.4698199672667758
data,covid19 data,data => covid19 data,0.005009741163373225,0.22499999999999998,1.3231178396072012
twitter,python,twitter => python,0.0052880601168939605,0.5,3.034628378378378
pandas,python,pandas => python,0.011132758140829391,0.888888888888889,5.394894894894895
matplotlib,python,matplotlib => python,0.0064013359309769,0.92,5.583716216216216
pandas,matplotlib,pandas => matplotlib,0.0030615084887280824,0.24444444444444446,35.13155555555556
covid api,coronavirus tracking,covid api => coronavirus tracking,0.02866685221263568,0.5049019607843137,2.116817672226417
coronavirus analysis,covid api,coronavirus analysis => covid api,0.009184525466184246,0.25,4.403186274509804
coronavirus dataset,coronavirus info,coronavirus dataset => coronavirus info,0.004453103256331756,0.45714285714285713,9.22760834670947
covid api,coronavirus info,covid api => coronavirus info,0.013915947676036738,0.2450980392156863,4.947400308437983
coronavirus dataset,covid api,coronavirus dataset => covid api,0.0036181463957695517,0.3714285714285714,6.541876750700279
coronavirus dataset,coronavirus analysis,coronavirus dataset => coronavirus analysis,0.0036181463957695517,0.3714285714285714,10.11017316017316
coronavirus analysis,coronavirus info,coronavirus analysis => coronavirus info,0.01642081825772335,0.44696969696969696,9.022259107933266
pandemic,coronavirus tracking,pandemic => coronavirus tracking,0.004453103256331756,0.22535211267605634,0.9447959636465233
coronavirus dataset,coronavirus real time,coronavirus dataset => coronavirus real time,0.003896465349290287,0.4,5.91440329218107
covid api,coronavirus real time,covid api => coronavirus real time,0.013637628722516002,0.24019607843137253,3.55154119260873
coronavirus dataset,coronavirus tracking,coronavirus dataset => coronavirus tracking,0.0055663790704146955,0.5714285714285715,2.3957326221036843
python,covid19 data,python => covid19 data,0.03339827442248817,0.20270270270270266,1.191998053700181
plotly,dashboard,plotly => dashboard,0.0030615084887280824,0.29729729729729726,10.173230373230371
data visualization,covid19 data,data visualization => covid19 data,0.009184525466184246,0.2773109243697479,1.6307334717847861
data science,data visualization,data science => data visualization,0.0055663790704146955,0.2702702702702703,8.16034521916875
data visualization,data analysis,data visualization => data analysis,0.007792930698580574,0.23529411764705885,12.618086040386304
computer vision,dataset,computer vision => dataset,0.0030615084887280824,0.24444444444444446,9.343498817966903
epidemiology,python,epidemiology => python,0.0036181463957695517,0.25999999999999995,1.5780067567567564
data science,python,data science => python,0.008627887559142778,0.4189189189189189,2.5425264791818845
bot,python,bot => python,0.007792930698580574,0.5283018867924528,3.2063997960224375
statistics,python,statistics => python,0.002226551628165878,0.20512820512820512,1.2449757449757448
covid 19 italy,covid19 data,covid 19 italy => covid19 data,0.007236292791539103,0.5416666666666666,3.1852836879432624
dashboard,coronavirus tracking,dashboard => coronavirus tracking,0.006679654884497634,0.22857142857142856,0.9582930488414736
data visualization,coronavirus tracking,data visualization => coronavirus tracking,0.006679654884497634,0.20168067226890757,0.8455526901542414
coronavirus tracking,covid19 data,coronavirus tracking => covid19 data,0.06957973838018369,0.29171528588098017,1.7154386614899537
coronavirus info,covid19 data,coronavirus info => covid19 data,0.021152240467575842,0.42696629213483145,2.5107854134868237
coronavirus real time,covid19 data,coronavirus real time => covid19 data,0.023100473142220985,0.3415637860082304,2.0085739494722943
covid api,covid19 data,covid api => covid19 data,0.03172836070136376,0.5588235294117647,3.286175026475402
coronavirus analysis,covid19 data,coronavirus analysis => covid19 data,0.016142499304202616,0.4393939393939394,2.5838664881218074
pandemic,python,pandemic => python,0.004174784302811021,0.2112676056338028,1.2822373429767795
plotly,python,plotly => python,0.0064013359309769,0.6216216216216216,3.7727812271731187
dashboard,python,dashboard => python,0.006957973838018369,0.23809523809523808,1.4450611325611324
dashboard,covid19 data,dashboard => covid19 data,0.0064013359309769,0.21904761904761905,1.2881147221572753
data science,covid19 data,data science => covid19 data,0.004731422209852491,0.22972972972972971,1.350931127526872
deep learning,python,deep learning => python,0.011411077094350125,0.25625,1.5552470439189188
machine learning,python,machine learning => python,0.015029223490119677,0.35064935064935066,2.1281809406809407
coronavirus globaloutbreak,covid19 data,coronavirus globaloutbreak => covid19 data,0.0055663790704146955,0.4761904761904762,2.800249395994077
coronavirus globaloutbreak,coronavirus analysis,coronavirus globaloutbreak => coronavirus analysis,0.008349568605622042,0.7142857142857142,19.44264069264069
coronavirus globaloutbreak,covid api,coronavirus globaloutbreak => covid api,0.0036181463957695517,0.30952380952380953,5.451563958916901
jupyter notebook,python,jupyter notebook => python,0.016142499304202616,0.725,4.400211148648649
json,covid19 data,json => covid19 data,0.003339827442248817,0.3076923076923077,1.8093919174115574
flask,python,flask => python,0.017255775118285556,0.7209302325581395,4.375510685103708
beautifulsoup4,python,beautifulsoup4 => python,0.006123016977456165,0.88,5.340945945945946
json,data,json => data,0.002226551628165878,0.20512820512820512,9.212820512820512
artificial intelligence,machine learning,artificial intelligence => machine learning,0.004731422209852491,0.3777777777777778,8.813997113997114
data analysis,coronavirus tracking,data analysis => coronavirus tracking,0.003896465349290287,0.208955223880597,0.8760514812170187
covid19 dataset,covid19 data,covid19 dataset => covid19 data,0.0055663790704146955,0.8,4.704418985270049
