cluster,mounth,count
1,1,0.48484848484848486
1,2,1.9393939393939394
1,3,37.09090909090909
1,4,34.21212121212121
1,5,15.969696969696969
1,6,11.515151515151516
1,7,10.303030303030303
1,8,7.2727272727272725
1,9,0.0
2,1,1.16
2,2,4.46
2,3,61.24
2,4,37.26
2,5,16.9
2,6,9.1
2,7,5.96
2,8,4.26
2,9,0.02
3,1,0.6363636363636364
3,2,1.0
3,3,23.545454545454547
3,4,24.545454545454547
3,5,15.272727272727273
3,6,9.454545454545455
3,7,7.454545454545454
3,8,4.7272727272727275
3,9,0.0
4,1,0.75
4,2,1.4166666666666667
4,3,34.583333333333336
4,4,43.666666666666664
4,5,22.583333333333332
4,6,11.0
4,7,7.5
4,8,6.0
4,9,0.0
