tag,cluster,mounth,count
coronavirus tracking,2,1,6.0
coronavirus tracking,2,2,26.0
coronavirus tracking,2,3,468.0
coronavirus tracking,2,4,305.0
coronavirus tracking,2,5,138.0
coronavirus tracking,2,6,63.0
coronavirus tracking,2,7,50.0
coronavirus tracking,2,8,35.0
coronavirus tracking,2,9,0.0
covid19 data,2,1,6.0
covid19 data,2,2,26.0
covid19 data,2,3,507.0
covid19 data,2,4,276.0
covid19 data,2,5,129.0
covid19 data,2,6,62.0
covid19 data,2,7,38.0
covid19 data,2,8,32.0
covid19 data,2,9,0.0
python,2,1,3.0
python,2,2,45.0
python,2,3,390.0
python,2,4,262.0
python,2,5,171.0
python,2,6,89.0
python,2,7,61.0
python,2,8,49.0
python,2,9,0.0
javascript,1,1,1.0
javascript,1,2,9.0
javascript,1,3,122.0
javascript,1,4,109.0
javascript,1,5,64.0
javascript,1,6,32.0
javascript,1,7,22.0
javascript,1,8,19.0
javascript,1,9,0.0
react,1,1,5.0
react,1,2,3.0
react,1,3,231.0
react,1,4,296.0
react,1,5,137.0
react,1,6,88.0
react,1,7,104.0
react,1,8,74.0
react,1,9,0.0
coronavirus real time,2,1,5.0
coronavirus real time,2,2,12.0
coronavirus real time,2,3,115.0
coronavirus real time,2,4,72.0
coronavirus real time,2,5,21.0
coronavirus real time,2,6,11.0
coronavirus real time,2,7,5.0
coronavirus real time,2,8,1.0
coronavirus real time,2,9,0.0
coronavirus info,2,1,1.0
coronavirus info,2,2,7.0
coronavirus info,2,3,111.0
coronavirus info,2,4,43.0
coronavirus info,2,5,14.0
coronavirus info,2,6,4.0
coronavirus info,2,7,4.0
coronavirus info,2,8,1.0
coronavirus info,2,9,0.0
reactjs,1,1,3.0
reactjs,1,2,6.0
reactjs,1,3,182.0
reactjs,1,4,277.0
reactjs,1,5,141.0
reactjs,1,6,93.0
reactjs,1,7,108.0
reactjs,1,8,74.0
reactjs,1,9,0.0
api,1,1,0.0
api,1,2,6.0
api,1,3,88.0
api,1,4,55.0
api,1,5,32.0
api,1,6,19.0
api,1,7,11.0
api,1,8,5.0
api,1,9,0.0
covid 19 india,2,1,0.0
covid 19 india,2,2,0.0
covid 19 india,2,3,89.0
covid 19 india,2,4,123.0
covid 19 india,2,5,64.0
covid 19 india,2,6,32.0
covid 19 india,2,7,14.0
covid 19 india,2,8,10.0
covid 19 india,2,9,0.0
covid api,2,1,0.0
covid api,2,2,6.0
covid api,2,3,106.0
covid api,2,4,64.0
covid api,2,5,23.0
covid api,2,6,16.0
covid api,2,7,9.0
