coronavirus tracking,covid19 data,python,javascript,react,coronavirus real time,coronavirus info,reactjs,api,covid 19 india,covid api,android,coronavirus analysis,machine learning,data visualization,deep learning,flutter,nodejs,dataset,visualization,dashboard,data,pandemic,data science,india,flask,r,data analysis,jupyter notebook,java,android app,epidemiology,open source,tracker,css,typescript,firebase,ios,html,vuejs,react native,docker,kotlin,material ui,covid 19 italy,chartjs,computer vision,health,dart,flutter apps,artificial intelligence,pandas,webapp,bootstrap,simulation,coronavirus globaloutbreak,rest api,angular,django,statistics,nlp,tensorflow,vue,convolutional neural networks,time series,json,golang,bot,coronavirus dataset,plotly,open data,telegram bot,social distancing,app,epidemic,virus,brazil,express,php,healthcare,twitter,map,country,html5,mask,covid19 dataset,covid 19 brazil,italy,react hooks,swift,matplotlib,heroku,wirvsvirus,contact tracing,pytorch,website,retrofit2,graphql,cli,csv,hackathon,spring boot,prediction,beautifulsoup4,axios,keras
1092.0,250.0,91.0,61.0,75.0,206.0,131.0,82.0,54.0,179.0,103.0,86.0,89.0,12.0,24.0,5.0,101.0,23.0,10.0,13.0,24.0,14.0,16.0,12.0,110.0,15.0,5.0,14.0,3.0,22.0,37.0,6.0,7.0,15.0,7.0,3.0,7.0,16.0,6.0,6.0,11.0,8.0,18.0,13.0,9.0,9.0,2.0,9.0,63.0,71.0,3.0,4.0,14.0,4.0,0.0,37.0,7.0,9.0,12.0,7.0,1.0,2.0,3.0,0.0,6.0,6.0,5.0,5.0,20.0,6.0,4.0,12.0,5.0,7.0,4.0,8.0,10.0,3.0,7.0,3.0,2.0,5.0,7.0,5.0,0.0,6.0,7.0,4.0,6.0,8.0,5.0,7.0,1.0,4.0,0.0,2.0,13.0,1.0,12.0,2.0,1.0,5.0,2.0,5.0,3.0,1.0
250.0,1075.0,120.0,19.0,23.0,83.0,76.0,23.0,50.0,107.0,114.0,16.0,58.0,13.0,33.0,9.0,18.0,16.0,44.0,17.0,23.0,18.0,8.0,17.0,56.0,8.0,21.0,12.0,12.0,5.0,10.0,12.0,6.0,3.0,5.0,3.0,3.0,4.0,4.0,1.0,1.0,8.0,3.0,2.0,26.0,5.0,3.0,4.0,7.0,10.0,6.0,10.0,5.0,3.0,2.0,20.0,8.0,7.0,2.0,6.0,2.0,3.0,1.0,1.0,9.0,12.0,3.0,5.0,22.0,4.0,14.0,5.0,1.0,2.0,4.0,2.0,4.0,3.0,4.0,1.0,5.0,4.0,5.0,4.0,1.0,20.0,9.0,10.0,1.0,2.0,7.0,2.0,1.0,0.0,2.0,1.0,3.0,2.0,4.0,8.0,0.0,1.0,4.0,6.0,1.0,2.0
91.0,120.0,1071.0,15.0,6.0,29.0,17.0,4.0,25.0,45.0,16.0,1.0,17.0,54.0,35.0,41.0,1.0,3.0,10.0,35.0,25.0,12.0,15.0,31.0,32.0,62.0,9.0,24.0,58.0,0.0,0.0,13.0,4.0,4.0,7.0,0.0,2.0,0.0,10.0,1.0,0.0,21.0,0.0,0.0,5.0,1.0,14.0,6.0,0.0,0.0,8.0,40.0,12.0,5.0,11.0,2.0,8.0,1.0,39.0,8.0,9.0,17.0,0.0,14.0,6.0,1.0,1.0,28.0,2.0,23.0,1.0,16.0,9.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,19.0,1.0,3.0,3.0,8.0,5.0,0.0,7.0,0.0,0.0,23.0,12.0,2.0,0.0,9.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,5.0,22.0,0.0,14.0
61.0,19.0,15.0,378.0,104.0,13.0,13.0,114.0,29.0,11.0,11.0,1.0,5.0,4.0,7.0,2.0,0.0,44.0,1.0,10.0,8.0,2.0,4.0,1.0,5.0,9.0,0.0,1.0,1.0,4.0,3.0,1.0,8.0,4.0,35.0,10.0,9.0,1.0,29.0,8.0,4.0,3.0,0.0,17.0,1.0,16.0,0.0,3.0,0.0,0.0,2.0,1.0,5.0,16.0,3.0,3.0,3.0,2.0,4.0,0.0,1.0,1.0,6.0,1.0,0.0,11.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,4.0,12.0,5.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,0.0
75.0,23.0,6.0,104.0,940.0,9.0,6.0,718.0,12.0,17.0,7.0,6.0,4.0,1.0,15.0,0.0,0.0,20.0,0.0,8.0,16.0,1.0,2.0,1.0,7.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,6.0,6.0,16.0,15.0,4.0,5.0,0.0,25.0,4.0,1.0,34.0,3.0,13.0,0.0,3.0,0.0,0.0,1.0,0.0,10.0,6.0,3.0,1.0,4.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,5.0,5.0,7.0,1.0,1.0,0.0,6.0,2.0,3.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0
206.0,83.0,29.0,13.0,9.0,243.0,93.0,7.0,26.0,68.0,49.0,23.0,54.0,4.0,6.0,2.0,5.0,8.0,4.0,3.0,10.0,9.0,10.0,3.0,47.0,5.0,3.0,4.0,1.0,6.0,14.0,0.0,2.0,2.0,5.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,4.0,2.0,0.0,25.0,5.0,3.0,7.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,14.0,3.0,1.0,3.0,2.0,2.0,2.0,6.0,2.0,2.0,4.0,1.0,0.0,1.0,3.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
131.0,76.0,17.0,13.0,6.0,93.0,185.0,10.0,12.0,29.0,50.0,9.0,59.0,1.0,7.0,1.0,8.0,7.0,3.0,3.0,1.0,5.0,11.0,3.0,9.0,4.0,0.0,5.0,3.0,3.0,13.0,3.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,4.0,5.0,8.0,1.0,0.0,2.0,0.0,0.0,26.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,7.0,3.0,1.0,16.0,1.0,3.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
82.0,23.0,4.0,114.0,718.0,7.0,10.0,885.0,15.0,21.0,11.0,3.0,4.0,3.0,6.0,2.0,0.0,23.0,0.0,8.0,8.0,0.0,0.0,1.0,4.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,11.0,7.0,14.0,11.0,2.0,6.0,0.0,12.0,1.0,0.0,47.0,2.0,27.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,7.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,0.0
54.0,50.0,25.0,29.0,12.0,26.0,12.0,15.0,218.0,14.0,56.0,7.0,5.0,0.0,3.0,0.0,9.0,20.0,6.0,2.0,1.0,12.0,2.0,2.0,4.0,13.0,1.0,3.0,1.0,3.0,6.0,1.0,0.0,10.0,7.0,1.0,0.0,1.0,6.0,4.0,3.0,4.0,3.0,2.0,0.0,5.0,0.0,1.0,6.0,7.0,0.0,0.0,7.0,13.0,0.0,3.0,16.0,2.0,4.0,3.0,1.0,0.0,2.0,0.0,3.0,9.0,7.0,2.0,2.0,1.0,1.0,1.0,0.0,6.0,0.0,2.0,2.0,10.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,1.0,6.0,0.0,1.0,11.0,1.0,0.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
179.0,107.0,45.0,11.0,17.0,68.0,29.0,21.0,14.0,334.0,40.0,34.0,20.0,5.0,14.0,2.0,28.0,6.0,3.0,13.0,11.0,2.0,4.0,0.0,159.0,5.0,0.0,11.0,4.0,6.0,20.0,2.0,3.0,8.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,2.0,12.0,21.0,1.0,1.0,2.0,1.0,0.0,5.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0
