source,aim,w
0.0,1.0,0.23074083364480544
0.0,2.0,0.08414636071623355
0.0,3.0,0.0949451130430891
0.0,4.0,0.07402629565213671
0.0,5.0,0.3999012525272504
0.0,6.0,0.2914567462712692
0.0,7.0,0.08341245390295171
0.0,8.0,0.11067618836604838
0.0,9.0,0.29639336568196784
0.0,10.0,0.20779478621628888
0.0,11.0,0.16592796180179598
0.0,12.0,0.22522192635161326
0.0,13.0,0.02442720572422907
0.0,14.0,0.0620496932635935
0.0,15.0,0.008458311905636982
0.0,16.0,0.16313851185441006
0.0,17.0,0.05780062250185215
0.0,18.0,0.028342375993809826
0.0,19.0,0.037680684556431934
0.0,20.0,0.056712396345267674
0.0,21.0,0.042796049251091296
0.0,22.0,0.053145881799021785
0.0,23.0,0.04085605045877877
0.0,24.0,0.2342101332939181
0.0,25.0,0.04657127599530763
0.0,26.0,0.015362886358213769
0.0,27.0,0.04766539220190857
0.0,28.0,0.009464899825923332
0.0,29.0,0.06406185113300612
0.0,30.0,0.11548523916284732
0.0,31.0,0.023059192053884958
0.0,32.0,0.02781459393413108
0.0,33.0,0.06012325878048521
0.0,34.0,0.02882636231459838
0.0,35.0,0.01181908700606436
0.0,36.0,0.02781459393413108
0.0,37.0,0.059598687502356563
0.0,38.0,0.02593832282866296
0.0,39.0,0.02384108051496949
0.0,40.0,0.03745137958721388
0.0,41.0,0.029799343751178282
0.0,42.0,0.07091452203638618
0.0,43.0,0.04956347617776507
0.0,44.0,0.032552336799117856
0.0,45.0,0.03813696271356911
0.0,46.0,0.008735706972682653
0.0,47.0,0.039726679008161965
0.0,48.0,0.12410041356367578
0.0,49.0,0.1361593144107471
0.0,50.0,0.01296916141433148
0.0,51.0,0.017847186267098032
0.0,52.0,0.06386903850265856
0.0,53.0,0.0182482967150453
0.0,55.0,0.17074821689715602
0.0,56.0,0.032303716710272753
0.0,57.0,0.023979290835216074
0.0,58.0,0.046118384107769916
0.0,59.0,0.03268602252303068
0.0,60.0,0.004614816672896109
0.0,61.0,0.008828150890702656
0.0,62.0,0.011720180773462386
0.0,64.0,0.02768890003737665
0.0,65.0,0.02737244507256795
0.0,66.0,0.024874698365017798
0.0,67.0,0.017132130891822073
0.0,68.0,0.09818087045699816
0.0,69.0,0.028708462588160732
0.0,70.0,0.020174251088960083
0.0,71.0,0.04727634802425744
0.0,72.0,0.021398024625545648
0.0,73.0,0.03530493940568015
0.0,74.0,0.020759133108398237
0.0,75.0,0.04151826621679647
0.0,76.0,0.03973513419161583
0.0,77.0,0.01580348853102535
0.0,78.0,0.03482457771102492
0.0,79.0,0.016048518469159237
0.0,80.0,0.00648872024203174
0.0,81.0,0.02717551844997501
0.0,82.0,0.038045725829965016
0.0,83.0,0.02717551844997501
0.0,85.0,0.0331496772065898
0.0,86.0,0.0386746234076881
0.0,87.0,0.02174041475998001
0.0,88.0,0.03431317581537582
0.0,89.0,0.04151826621679647
0.0,90.0,0.029119023242275513
0.0,91.0,0.040766632539185714
0.0,92.0,0.005619396567649799
0.0,93.0,0.02287545054358388
0.0,95.0,0.011869488458622457
0.0,96.0,0.07570946042991633
0.0,97.0,0.004974939673003559
0.0,98.0,0.06743275881179757
0.0,99.0,0.011869488458622457
0.0,100.0,0.005934744229311229
0.0,101.0,0.027624731005491496
0.0,102.0,0.011869488458622457
0.0,103.0,0.030261376633440126
0.0,104.0,0.017804232687933685
0.0,105.0,0.005349506156386412
1.0,2.0,0.11183616817827974
1.0,3.0,0.029805984337884082
1.0,4.0,0.02288019266154875
1.0,5.0,0.16239427827783728
1.0,6.0,0.17042115171053648
1.0,7.0,0.023580443473636137
1.0,8.0,0.10328506458254434
1.0,9.0,0.17856910098548706
1.0,10.0,0.2317978269055591
1.0,11.0,0.03111345191024653
1.0,12.0,0.14792982473464825
1.0,13.0,0.02667122624037985
1.0,14.0,0.08599029209398244
1.0,15.0,0.015344872638085653
1.0,16.0,0.029303177430330264
1.0,17.0,0.0405258142408975
1.0,18.0,0.12568863758880933
1.0,19.0,0.049662827301893184
1.0,20.0,0.05477743344639721
1.0,21.0,0.05545685479033975
1.0,22.0,0.026782228355270558
1.0,23.0,0.05833526077250814
1.0,24.0,0.12017333402020842
1.0,25.0,0.025033637101630042
1.0,26.0,0.06503231220173925
1.0,27.0,0.04117783113353516
1.0,28.0,0.038157780044933615
1.0,29.0,0.01467418177209373
1.0,30.0,0.03145805309302787
1.0,31.0,0.04648161071901186
1.0,32.0,0.0240288519438982
1.0,33.0,0.012119357448701656
1.0,34.0,0.02075242687882301
1.0,35.0,0.011912173678640626
1.0,36.0,0.0120144259719491
1.0,37.0,0.015017021115565556
1.0,38.0,0.01742840803801196
1.0,39.0,0.0040048086573163675
1.0,40.0,0.0034314859277945965
1.0,41.0,0.030034042231131118
1.0,42.0,0.011912173678640626
1.0,43.0,0.0076852055693898014
1.0,44.0,0.0947807401549436
1.0,45.0,0.0213540710879491
1.0,46.0,0.013206763594884359
1.0,47.0,0.017795362132005166
1.0,48.0,0.013897535958414064
1.0,49.0,0.019328408438016857
1.0,50.0,0.026142612057017945
1.0,51.0,0.044969375041328793
1.0,52.0,0.022990024493585143
1.0,53.0,0.013794014696151087
1.0,54.0,0.00646592645026247
1.0,55.0,0.0930232558139535
1.0,56.0,0.0372093023255814
1.0,57.0,0.018797450624778514
1.0,58.0,0.007746935119835309
1.0,59.0,0.028237248320100706
1.0,60.0,0.00930232558139535
1.0,61.0,0.013346521599003873
1.0,62.0,0.003937496154790789
1.0,63.0,0.004546628929803157
1.0,64.0,0.04186046511627908
1.0,65.0,0.05517605878460435
1.0,66.0,0.01504236631691701
1.0,67.0,0.01726706289274927
1.0,68.0,0.10884955311896456
1.0,69.0,0.019289712886816485
1.0,70.0,0.07116599948854885
1.0,71.0,0.01985362279773438
1.0,72.0,0.004313310928137536
1.0,73.0,0.010166571355506979
1.0,74.0,0.02092263123863766
1.0,75.0,0.01046131561931883
1.0,76.0,0.016019234629265466
1.0,77.0,0.01592795619605697
1.0,78.0,0.02005648842255601
1.0,79.0,0.00539163866017192
1.0,80.0,0.016349562879842853
1.0,81.0,0.021911641426591074
1.0,82.0,0.02738955178323884
1.0,83.0,0.021911641426591074
1.0,84.0,0.00356972152349957
1.0,85.0,0.1113692092779409
1.0,86.0,0.050116144175073415
1.0,87.0,0.05477910356647768
1.0,88.0,0.00576390417704235
1.0,89.0,0.01046131561931883
1.0,90.0,0.04108770896186245
1.0,91.0,0.011739345417674985
1.0,92.0,0.005663654717885991
1.0,94.0,0.011962972091091584
1.0,95.0,0.005981486045545792
1.0,96.0,0.017609018126512478
1.0,97.0,0.010028244211278004
1.0,98.0,0.022654618871543963
1.0,99.0,0.04785188836436634
1.0,101.0,0.005568460463897046
1.0,102.0,0.02392594418218317
1.0,103.0,0.03659965687982512
1.0,104.0,0.005981486045545792
1.0,105.0,0.01078327732034384
2.0,3.0,0.023574941499444627
2.0,4.0,0.005979881641373997
2.0,5.0,0.05684602813601456
2.0,6.0,0.03819164121377162
2.0,7.0,0.0041085977176647664
2.0,8.0,0.05173888038304065
2.0,9.0,0.07523926510496998
2.0,10.0,0.032593724338780834
2.0,11.0,0.001948218715351164
2.0,12.0,0.04343963497776986
2.0,13.0,0.1109948650646737
2.0,14.0,0.09137197775457473
2.0,15.0,0.07003483860275478
2.0,16.0,0.001630991532500285
2.0,17.0,0.0076127666566910045
2.0,18.0,0.028618893527162882
2.0,19.0,0.10243775687557352
2.0,20.0,0.059651771999386226
2.0,21.0,0.037040212774409394
2.0,22.0,0.05031036607998148
2.0,23.0,0.10657452673969617
2.0,24.0,0.06879859325514648
2.0,25.0,0.19437264809025467
2.0,26.0,0.0279229891062404
2.0,27.0,0.0825093110242809
2.0,28.0,0.1847733549756773
2.0,31.0,0.050449024402168856
2.0,32.0,0.01604912128701912
2.0,33.0,0.01618929094649013
2.0,34.0,0.02910760177753243
2.0,36.0,0.00802456064350956
2.0,38.0,0.04365230938229578
2.0,39.0,0.00401228032175478
2.0,41.0,0.07898644934440116
2.0,44.0,0.018261071163032633
2.0,45.0,0.004278782161490046
2.0,46.0,0.061746547802912374
2.0,47.0,0.026742843695030556
2.0,50.0,0.03492184750583662
2.0,51.0,0.18021309280812484
2.0,52.0,0.05527899928227821
2.0,53.0,0.023032916367615917
2.0,54.0,0.035628943660013755
2.0,55.0,0.009319680681523312
2.0,56.0,0.03727872272609325
2.0,57.0,0.002690360075119419
2.0,58.0,0.15134707320650656
2.0,59.0,0.0377199063991114
2.0,60.0,0.0419385630668549
2.0,61.0,0.07577139046925323
2.0,63.0,0.06377156035372793
2.0,64.0,0.027959042044569938
2.0,65.0,0.004606583273523184
2.0,66.0,0.0050234768191927005
2.0,67.0,0.0968759545058584
2.0,68.0,0.009913875529090036
2.0,69.0,0.11112278183338592
2.0,70.0,0.005092769427934507
2.0,71.0,0.06365012214712577
2.0,72.0,0.03889222341312986
2.0,74.0,0.02096166603234701
2.0,75.0,0.02096166603234701
2.0,76.0,0.01203684096526434
2.0,79.0,0.005401697696268036
2.0,80.0,0.06224425012429111
2.0,81.0,0.005488130347541418
2.0,82.0,0.016464391042624253
2.0,83.0,0.016464391042624253
2.0,84.0,0.028611051660040143
2.0,85.0,0.0278942469585241
2.0,87.0,0.03841691243278992
2.0,90.0,0.13525434280637946
2.0,91.0,0.07056748320332842
2.0,92.0,0.011348442494136593
2.0,94.0,0.053933809897246464
2.0,95.0,0.023970582176553984
2.0,97.0,0.0050234768191927005
2.0,98.0,0.0056742212470682965
2.0,99.0,0.017977936632415488
2.0,102.0,0.02996322772069248
2.0,103.0,0.134449112897471
2.0,105.0,0.07562376774775251
3.0,4.0,0.17447110537386806
3.0,5.0,0.042893779566191566
3.0,6.0,0.04915996762308145
3.0,7.0,0.19710031396166772
3.0,8.0,0.1010238350672098
3.0,9.0,0.03095804675685243
3.0,10.0,0.03771859665740025
3.0,11.0,0.003279340756116418
3.0,12.0,0.02150582392052121
3.0,13.0,0.013839422072265486
3.0,14.0,0.030760391352007917
3.0,15.0,0.005750546327852951
3.0,17.0,0.18794153752940854
3.0,18.0,0.004817277608467333
3.0,19.0,0.049265268163789934
3.0,20.0,0.03213084618079199
3.0,21.0,0.010391328106475828
3.0,22.0,0.022582657363358974
3.0,23.0,0.005786827737156788
3.0,24.0,0.018094576362831138
3.0,25.0,0.04749356901459777
3.0,27.0,0.005786827737156788
3.0,28.0,0.005362412100731557
3.0,29.0,0.019797129030549955
3.0,30.0,0.015915175351980757
3.0,31.0,0.006532181680580171
3.0,32.0,0.05402939323154051
3.0,33.0,0.027250637310442926
3.0,34.0,0.2449769732467213
3.0,35.0,0.06696195030752566
3.0,36.0,0.06078306738548307
3.0,37.0,0.0063311431366465535
3.0,38.0,0.21308557851907928
3.0,39.0,0.05402939323154051
3.0,40.0,0.023147310948627157
3.0,41.0,0.018993429409939658
3.0,43.0,0.11016223710929636
3.0,44.0,0.006147592613027646
3.0,45.0,0.11523621752038478
3.0,47.0,0.022507456830317185
3.0,50.0,0.014695557139246846
3.0,51.0,0.007583595919888167
3.0,52.0,0.03877017543326962
3.0,53.0,0.12406456138646275
3.0,54.0,0.016356122383769687
3.0,55.0,0.023531040266750583
3.0,56.0,0.023531040266750583
3.0,57.0,0.009057101621546916
3.0,58.0,0.026128726722320684
3.0,60.0,0.007843680088916862
3.0,61.0,0.007502485610105728
3.0,62.0,0.03984095364447978
3.0,63.0,0.007667395103803935
3.0,65.0,0.08529438595319316
3.0,66.0,0.008455771490530683
3.0,67.0,0.0058238046484551005
3.0,69.0,0.008132500607904443
3.0,71.0,0.013392390061505131
3.0,72.0,0.01454785934906616
3.0,73.0,0.017144816662454657
3.0,74.0,0.008820935400416051
3.0,76.0,0.027014696615770252
3.0,77.0,0.1074430618700507
3.0,78.0,0.04227885745265342
3.0,79.0,0.009092412093166349
3.0,81.0,0.009237899924561557
3.0,83.0,0.1847579984912311
3.0,87.0,0.009237899924561557
3.0,88.0,0.03888078956798695
3.0,95.0,0.050435627722400206
3.0,98.0,0.019102275168708428
3.0,99.0,0.02017425108896008
3.0,100.0,0.030261376633440126
3.0,101.0,0.0187812056606337
3.0,102.0,0.01008712554448004
3.0,103.0,0.020573779994945588
3.0,104.0,0.04034850217792016
4.0,5.0,0.018831089428867732
4.0,6.0,0.014388034131335046
4.0,7.0,0.7872068818555424
