tag,cluster
coronavirus tracking,2
covid19 data,2
python,2
javascript,1
react,1
coronavirus real time,2
coronavirus info,2
reactjs,1
api,1
covid 19 india,2
covid api,2
android,4
coronavirus analysis,2
machine learning,3
data visualization,2
deep learning,3
flutter,4
nodejs,1
dataset,2
visualization,2
dashboard,2
data,2
pandemic,2
data science,2
india,2
flask,2
r,2
data analysis,2
jupyter notebook,2
java,4
android app,4
epidemiology,2
open source,1
tracker,1
css,1
typescript,1
firebase,1
ios,4
html,1
vuejs,1
react native,1
docker,1
kotlin,4
material ui,1
covid 19 italy,2
chartjs,1
computer vision,3
health,2
dart,4
flutter apps,4
artificial intelligence,3
pandas,2
webapp,1
bootstrap,1
simulation,2
coronavirus globaloutbreak,2
rest api,1
angular,1
django,1
statistics,2
nlp,3
tensorflow,3
vue,1
convolutional neural networks,3
time series,2
json,2
golang,2
bot,2
coronavirus dataset,2
plotly,2
open data,2
telegram bot,2
social distancing,3
app,4
epidemic,2
virus,2
brazil,2
express,1
php,1
healthcare,2
twitter,2
map,2
country,2
html5,1
mask,3
covid19 dataset,2
covid 19 brazil,2
italy,2
react hooks,1
swift,4
matplotlib,2
heroku,1
wirvsvirus,1
contact tracing,4
pytorch,3
website,1
retrofit2,4
graphql,1
cli,2
csv,2
hackathon,1
spring boot,1
prediction,2
beautifulsoup4,2
axios,1
keras,3
