tag,count
covid-19,2618
coronavirus,1345
covid19,816
coronavirus-tracking,463
covid19-data,365
python,341
covid,340
javascript,213
react,203
coronavirus-real-time,195
corona,183
coronavirus-info,176
reactjs,174
api,167
covid-data,164
python3,160
android,143
coronavirus-tracker,142
coronavirus-analysis,132
covid-19-india,131
machine-learning,128
2019-ncov,116
sars-cov-2,114
data-visualization,113
covid-api,111
flutter,108
covid19-tracker,108
deep-learning,102
covid-virus,102
nodejs,101
data,95
dashboard,89
visualization,88
dataset,82
pandemic,80
covid-2019,80
india,75
flask,73
r,72
data-science,70
java,66
data-analysis,63
epidemiology,60
jupyter-notebook,55
css,55
typescript,52
firebase,51
ios,51
html,50
ncov,50
vuejs,50
docker,48
material-ui,48
chartjs,48
kotlin,47
health,47
dart,47
computer-vision,46
pandas,46
react-native,46
simulation,44
coronavirus-globaloutbreak,43
django,42
statistics,42
coronavirus-api,42
open-source,42
tracker,41
tensorflow,41
vue,40
covid-19-data,40
rest-api,40
covid-19-italy,40
json,38
android-application,38
golang,37
bot,37
coronavirus-dataset,37
plotly,37
ncov-2019,36
angular,36
android-app,36
telegram-bot,35
virus,34
time-series,34
covid19-india,34
express,33
webapp,33
flutter-apps,33
php,32
nlp,31
map,31
html5,31
healthcare,30
social-distancing,30
italy,28
bootstrap,28
swift,28
artificial-intelligence,27
matplotlib,27
heroku,27
wirvsvirus,27
contact-tracing,27
pytorch,26
website,26
app,26
graphql,26
cli,26
csv,26
react-hooks,25
twitter,25
covid-19-brazil,25
axios,25
keras,25
redux,24
gatsby,24
chatbot,23
charts,23
hackathon,23
news,22
analysis,22
numpy,22
datasets,22
ai,22
covid-19-api,22
bioinformatics,21
sentiment-analysis,21
telegram,21
nextjs,21
open-data,21
forecasting,21
opensource,21
brazil,21
wuhan,20
medical,20
shiny,20
pwa,20
retrofit2,20
brasil,20
convolutional-neural-networks,20
cnn,20
deep-neural-networks,20
epidemic,19
mongodb,19
deaths,19
ventilator,19
spring-boot,19
css3,19
covid19-live-tracker,19
opendata,18
rstats,18
expressjs,18
xray,18
discord-bot,18
js,18
covid19-graph,18
kotlin-android,18
neural-network,18
classification,18
research,17
d3,17
flutter-app,17
outbreak,17
stats,17
go,17
dash,17
node,17
maps,17
awesome-list,17
wirvsvirushack,17
analytics,17
leaflet,17
arduino,16
d3js,16
mapbox,16
prediction,16
coronavirus-maps,16
epidemic-simulations,16
disease,16
jupyter,16
johns-hopkins-university,16
csharp,16
tracking,16
discord,16
netlify,16
mvvm,16
api-rest,16
covid-19-tracker,16
ncov-data-visual,15
crawler,15
2019ncov,15
chrome-extension,15
swiftui,15
ios-app,15
bootstrap4,15
flutter-ui,15
django-rest-framework,15
covid-19-data-analysis,15
covid19india,15
opencv,15
beautifulsoup4,15
wuhan-pneumonia,14
canada,14
sql,14
model,14
database,14
aws,14
gatsbyjs,14
html-css-javascript,14
natural-language-processing,14
quarantine,14
chart,14
covid-tracking,14
python-3,14
exposure-notification,14
epidemics,13
lstm,13
china,13
json-api,13
sir-model,13
webscraping,13
covid19-dataset,13
styled-components,13
covid-tracker,13
indonesia,13
laravel,13
mobile,13
frontend,13
matplotlib-pyplot,13
deeplearning,13
face-detection,12
