tag,count
covid 19,11641
coronavirus tracking,1092
covid19 data,1075
python,1071
react,940
reactjs,885
javascript,378
flutter,351
covid 19 india,334
deep learning,320
flutter apps,249
android,246
coronavirus real time,243
dart,236
covid api,225
machine learning,221
api,218
india,202
coronavirus info,185
dashboard,164
nodejs,145
coronavirus analysis,143
data visualization,137
angular,129
dataset,114
visualization,109
java,108
data,98
r,97
flask,95
android app,94
jupyter notebook,92
simulation,89
twitter,87
pandemic,83
data science,79
data analysis,79
react native,79
bot,78
mask,73
covid 19 italy,70
docker,66
ios,66
material ui,63
django,62
epidemiology,62
vue,60
typescript,59
kotlin,59
telegram bot,59
vuejs,58
open source,58
firebase,58
brazil,58
tracker,57
css,54
chartjs,51
social distancing,50
html,49
artificial intelligence,49
computer vision,48
health,47
tensorflow,47
pandas,46
convolutional neural networks,45
json,44
webapp,44
bootstrap,44
nlp,43
coronavirus globaloutbreak,43
time series,43
rest api,43
statistics,42
plotly,40
coronavirus dataset,38
php,37
golang,37
graphql,37
open data,36
app,36
epidemic,34
virus,34
swift,34
express,33
healthcare,32
keras,32
italy,31
map,31
country,31
html5,31
spring boot,30
covid19 dataset,30
covid 19 brazil,30
cli,29
wirvsvirus,29
react hooks,28
contact tracing,28
matplotlib,27
heroku,27
retrofit2,27
prediction,26
pytorch,26
website,26
axios,26
csv,26
hackathon,26
beautifulsoup4,25
,12
topic,1
