tag,count,Cumulative word frequency,
covid 19,3291,3291,15.12%
coronavirus tracking,602,3893,17.89%
covid19 data,490,4383,20.14%
python,457,4840,22.24%
javascript,228,5068,23.29%
react,203,5271,24.22%
coronavirus real time,195,5466,25.12%
coronavirus info,176,5642,25.93%
reactjs,175,5817,26.73%
api,171,5988,27.52%
covid 19 india,169,6157,28.29%
covid api,162,6319,29.04%
android,144,6463,29.70%
coronavirus analysis,132,6595,30.31%
machine learning,130,6725,30.90%
data visualization,125,6850,31.48%
deep learning,112,6962,31.99%
flutter,108,7070,32.49%
nodejs,105,7175,32.97%
dataset,101,7276,33.44%
visualization,99,7375,33.89%
dashboard,95,7470,34.33%
data,95,7565,34.76%
pandemic,82,7647,35.14%
data science,77,7724,35.49%
india,75,7799,35.84%
flask,73,7872,36.17%
r,72,7944,36.51%
data analysis,68,8012,36.82%
jupyter notebook,67,8079,37.13%
java,66,8145,37.43%
android app,65,8210,37.73%
epidemiology,61,8271,38.01%
open source,58,8329,38.27%
tracker,57,8386,38.54%
css,55,8441,38.79%
typescript,52,8493,39.03%
firebase,51,8544,39.26%
ios,51,8595,39.50%
html,50,8645,39.73%
vuejs,50,8695,39.96%
react native,50,8745,40.19%
docker,48,8793,40.41%
kotlin,48,8841,40.63%
material ui,48,8889,40.85%
covid 19 italy,48,8937,41.07%
chartjs,48,8985,41.29%
computer vision,47,9032,41.51%
health,47,9079,41.72%
dart,47,9126,41.94%
flutter apps,46,9172,42.15%
artificial intelligence,46,9218,42.36%
pandas,46,9264,42.57%
webapp,44,9308,42.77%
bootstrap,44,9352,42.98%
simulation,44,9396,43.18%
coronavirus globaloutbreak,43,9439,43.38%
rest api,43,9482,43.57%
angular,43,9525,43.77%
django,42,9567,43.96%
statistics,42,9609,44.16%
nlp,41,9650,44.35%
tensorflow,41,9691,44.53%
vue,40,9731,44.72%
convolutional neural networks,40,9771,44.90%
time series,39,9810,45.08%
json,38,9848,45.26%
golang,37,9885,45.43%
bot,37,9922,45.60%
coronavirus dataset,37,9959,45.77%
plotly,37,9996,45.94%
open data,36,10032,46.10%
telegram bot,36,10068,46.27%
social distancing,36,10104,46.43%
app,35,10139,46.59%
epidemic,34,10173,46.75%
virus,34,10207,46.91%
brazil,34,10241,47.06%
express,33,10274,47.21%
php,32,10306,47.36%
healthcare,32,10338,47.51%
twitter,32,10370,47.65%
map,31,10401,47.80%
country,31,10432,47.94%
html5,31,10463,48.08%
mask,30,10493,48.22%
covid19 dataset,30,10523,48.36%
covid 19 brazil,30,10553,48.50%
italy,28,10581,48.62%
react hooks,28,10609,48.75%
swift,28,10637,48.88%
matplotlib,27,10664,49.01%
heroku,27,10691,49.13%
wirvsvirus,27,10718,49.25%
contact tracing,27,10745,49.38%
pytorch,26,10771,49.50%
website,26,10797,49.62%
retrofit2,26,10823,49.74%
graphql,26,10849,49.86%
cli,26,10875,49.97%
csv,26,10901,50.09%
hackathon,26,10927,50.21%
spring boot,25,10952,50.33%
prediction,25,10977,50.44%
beautifulsoup4,25,11002,50.56%
axios,25,11027,50.67%
keras,25,11052,50.79%
chatbot,24,11076,50.90%
redux,24,11100,51.01%
gatsby,24,11124,51.12%
neural network,24,11148,51.23%
jhu csse,23,11171,51.33%
charts,23,11194,51.44%
news,22,11216,51.54%
analysis,22,11238,51.64%
numpy,22,11260,51.74%
bioinformatics,21,11281,51.84%
sentiment analysis,21,11302,51.94%
telegram,21,11323,52.03%
modeling,21,11344,52.13%
expressjs,21,11365,52.23%
johns hopkins university,21,11386,52.32%
nextjs,21,11407,52.42%
forecasting,21,11428,52.52%
webscraping,21,11449,52.61%
wuhan,20,11469,52.70%
medical,20,11489,52.80%
deaths,20,11509,52.89%
shiny,20,11529,52.98%
ventilator,20,11549,53.07%
pwa,20,11569,53.16%
covid19 graph,20,11589,53.26%
deep neural networks,20,11609,53.35%
stats,19,11628,53.44%
mongodb,19,11647,53.52%
discord bot,19,11666,53.61%
css3,19,11685,53.70%
covid19 live tracker,19,11704,53.78%
disease,18,11722,53.87%
rstats,18,11740,53.95%
xray,18,11758,54.03%
awesome list,18,11776,54.12%
kotlin android,18,11794,54.20%
classification,18,11812,54.28%
csharp,17,11829,54.36%
research,17,11846,54.44%
d3,17,11863,54.51%
outbreak,17,11880,54.59%
go,17,11897,54.67%
dash,17,11914,54.75%
node,17,11931,54.83%
flutter ui,17,11948,54.91%
graphs,17,11965,54.98%
maps,17,11982,55.06%
realtime,17,11999,55.14%
wirvsvirushack,17,12016,55.22%
analytics,17,12033,55.30%
leaflet,17,12050,55.37%
opencv,17,12067,55.45%
arduino,16,12083,55.53%
d3js,16,12099,55.60%
mapbox,16,12115,55.67%
coronavirus maps,16,12131,55.75%
epidemic simulations,16,12147,55.82%
jupyter,16,12163,55.89%
model,16,12179,55.97%
discord,16,12195,56.04%
netlify,16,12211,56.11%
mvvm,16,12227,56.19%
api rest,16,12243,56.26%
covid tracking,16,12259,56.33%
exposure notification,16,12275,56.41%
ncov data visual,15,12290,56.48%
crawler,15,12305,56.55%
scraper,15,12320,56.62%
chrome extension,15,12335,56.68%
hospital,15,12350,56.75%
dataviz,15,12365,56.82%
swiftui,15,12380,56.89%
ios app,15,12395,56.96%
yolov3,15,12410,57.03%
quarantine,15,12425,57.10%
django rest framework,15,12440,57.17%
covid 19 data analysis,15,12455,57.24%
wuhan pneumonia,14,12469,57.30%
canada,14,12483,57.36%
json api,14,12497,57.43%
sql,14,12511,57.49%
database,14,12525,57.56%
aws,14,12539,57.62%
gatsbyjs,14,12553,57.69%
html css javascript,14,12567,57.75%
chart,14,12581,57.81%
foldingathome,13,12594,57.87%
lstm,13,12607,57.93%
china,13,12620,57.99%
livedata,13,12633,58.05%
sir model,13,12646,58.11%
styled components,13,12659,58.17%
indonesia,13,12672,58.23%
postgresql,13,12685,58.29%
covid 19 spain,13,12698,58.35%
laravel,13,12711,58.41%
mobile,13,12724,58.47%
frontend,13,12737,58.53%
covid 19 app,13,12750,58.59%
agent based modeling,13,12763,58.65%
project,13,12776,58.71%
android studio,13,12789,58.77%
